"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
1000 20 1.7 588 203 18.4211077967734 1.66611570591955 FALSE ""
200 20 1.7 431 204 17.6174224998873 1.60251375498145 FALSE ""
400 10 1.7 855 205 10.3233650905522 1.74557107741849 FALSE ""
200 20 1.7 290 206 20.5347586863943 1.68566558046604 FALSE ""
400 20 1.7 918 207 22.2704016651434 1.73228910353585 FALSE ""
400 20 1.05 801 208 33.5958351200875 1.07980941571536 FALSE ""
400 30 1.05 422 209 46.8731580226339 1.07237994929644 FALSE ""
1000 20 1.7 335 210 20.1124618247874 1.69449438034391 FALSE ""
600 30 1.7 252 211 28.3625001883868 1.71720286262093 FALSE ""
1000 10 1.7 678 212 9.92201495862026 1.68843024313011 FALSE ""
600 30 1.05 686 213 52.1062143395894 1.07991259946123 FALSE ""
600 20 1.7 543 214 22.507982278033 1.72046032388319 FALSE ""
400 30 1.7 169 215 25.2209084250318 1.61700195032897 FALSE ""
200 30 1.05 937 216 52.2107823143583 1.08178487963573 FALSE ""
200 20 1.7 507 217 21.4043260769887 1.64500347913207 FALSE ""
400 30 1.05 360 218 45.7747032775967 1.07301917735437 FALSE ""
400 10 1.7 383 219 10.5211234778747 1.72289637068688 FALSE ""
200 10 1.7 708 220 11.0213395575558 1.71185505492122 FALSE ""
1000 30 1.05 840 221 46.1779882204168 1.0728708756606 FALSE ""
1000 30 1.7 961 222 31.0720013246463 1.72334187879994 FALSE ""
800 30 1.7 862 223 27.8346188619251 1.68427687838739 FALSE ""
800 20 1.7 766 224 21.1259875231605 1.69386953819663 FALSE ""
800 20 1.05 701 225 33.3719131333769 1.07811447069539 FALSE ""
800 10 1.7 858 226 9.98225185791493 1.73809243430099 FALSE ""
1000 20 1.7 254 227 20.3894767097015 1.71734603899316 FALSE ""
1000 20 1.7 36 228 20.978968329255 1.70673077565299 FALSE ""
800 10 1.05 147 229 16.8536857797916 1.07841568911403 FALSE ""
200 30 1.05 635 230 46.751950810176 1.07332452324585 FALSE ""
800 30 1.7 372 231 32.7818097320507 1.73690544683254 FALSE ""
1000 10 1.7 731 232 9.79195824520903 1.70482979085425 FALSE ""
400 10 1.05 493 233 16.3318644586011 1.07774724935425 FALSE ""
1000 20 1.7 638 234 20.4204998969451 1.73818080810486 FALSE ""
400 20 1.05 324 235 30.7722632722434 1.07281309048932 FALSE ""
200 10 1.7 73 236 9.48565939445071 1.73012122021068 FALSE ""
800 20 1.7 300 237 20.5224203374771 1.69803263548918 FALSE ""
600 30 1.05 515 238 52.100930139846 1.07915915049506 FALSE ""
400 30 1.7 47 239 30.8514338936269 1.71181903214994 FALSE ""
200 20 1.05 189 240 33.9008245431311 1.07996635203381 FALSE ""
600 20 1.05 239 241 34.1324547787726 1.07956668028014 FALSE ""
1000 20 1.7 363 242 21.8934639359582 1.7004624130322 FALSE ""
800 20 1.05 818 243 30.500596532042 1.07321172502114 FALSE ""
200 20 1.05 618 244 37.0712999404825 1.08186357074185 FALSE ""
600 30 1.7 937 245 32.0061269053496 1.70404215539262 FALSE ""
200 10 1.7 333 246 9.33033866871181 1.70338005146544 FALSE ""
1000 20 1.7 441 247 20.6946196581302 1.69779293712343 FALSE ""
800 10 1.7 842 248 9.61317538967318 1.70091646513457 FALSE ""
1000 10 1.05 366 249 17.1083425691053 1.08128811150279 FALSE ""
600 20 1.7 45 250 17.9935081696174 1.64786996225688 FALSE ""
400 10 1.7 131 251 9.04588247693878 1.74021284243323 FALSE ""
600 20 1.05 855 252 31.4872012430446 1.07508926734461 FALSE ""
600 30 1.05 298 253 47.12351415883 1.07225527502458 FALSE ""
800 10 1.05 940 254 15.4675038079195 1.0728309873593 FALSE ""
200 10 1.05 195 255 15.6193118286325 1.07617440085914 FALSE ""
800 30 1.7 654 256 33.3738390850989 1.69914738058184 FALSE ""
600 10 1.7 370 257 9.30930759700217 1.67367449954772 FALSE ""
800 30 1.05 376 258 49.2557371433091 1.07584301770639 FALSE ""
800 10 1.05 904 259 16.9347142124148 1.08004131178663 FALSE ""
1000 30 1.05 228 260 48.7177966421037 1.07582351899595 FALSE ""
400 10 1.05 411 261 17.3604503540306 1.08011906434554 FALSE ""
1000 20 1.05 100 262 33.1488577293305 1.07865331346341 FALSE ""
1000 10 1.7 998 263 9.95253184012012 1.68627636143342 FALSE ""
200 30 1.05 932 264 50.3427091531031 1.07854050719544 FALSE ""
800 10 1.7 169 265 9.76055484699896 1.72780085046309 FALSE ""
400 30 1.05 402 266 51.5689529004398 1.07942954100156 FALSE ""
1000 20 1.05 438 267 34.0012313133035 1.07863731121544 FALSE ""
600 30 1.05 659 268 51.1116963352395 1.07790116971437 FALSE ""
1000 30 1.7 476 269 29.6409287578426 1.69754940702982 FALSE ""
800 30 1.7 802 270 28.9438523977906 1.69596344695702 FALSE ""
1000 30 1.05 631 271 46.7065221793478 1.07296170603832 FALSE ""
400 20 1.05 38 272 31.7659547774009 1.07526769205076 FALSE ""
400 30 1.7 910 273 30.6302236901188 1.69061547362259 FALSE ""
1000 30 1.7 673 274 31.8676189913162 1.74191882610061 FALSE ""
400 20 1.7 1 275 23.0652460576239 1.7112813291227 FALSE ""
400 10 1.7 366 276 10.2298142413639 1.68831612764184 FALSE ""
600 10 1.7 79 277 11.2638211281961 1.7283523815303 FALSE ""
200 30 1.05 933 278 50.7438648989965 1.08001373186063 FALSE ""
1000 10 1.05 558 279 16.978843155813 1.07999079504947 FALSE ""
800 10 1.7 986 280 10.5513713007883 1.69052050364096 FALSE ""
800 10 1.7 844 281 10.0504796419355 1.69203147691205 FALSE ""
200 30 1.05 939 282 45.894208708786 1.07215432935034 FALSE ""
400 20 1.05 515 283 30.6662601631133 1.07334379554744 FALSE ""
200 20 1.7 248 284 19.2460847767246 1.70990505266361 FALSE ""
400 10 1.05 528 285 15.6495572480095 1.07377448936775 FALSE ""
200 10 1.7 616 286 8.12359902232948 1.66639926162813 FALSE ""
600 10 1.7 484 287 10.4658887427064 1.68815311844021 FALSE ""
800 30 1.05 583 288 49.0059879059829 1.0754478151999 FALSE ""
1000 10 1.7 671 289 10.1282882139938 1.70029742249043 FALSE ""
200 30 1.05 182 290 48.4424568059111 1.07798854140207 FALSE ""
800 30 1.05 135 291 49.4756374986386 1.07826948253823 FALSE ""
200 30 1.7 345 292 27.8799508403899 1.62520236822875 FALSE ""
1000 30 1.7 559 293 27.6187648846277 1.67567449325709 FALSE ""
1000 30 1.05 35 294 48.1068913429804 1.07541994962676 FALSE ""
600 30 1.05 175 295 46.5710393408567 1.07322222097867 FALSE ""
600 30 1.7 614 296 31.9663776322556 1.70886818567494 FALSE ""
800 10 1.7 323 297 10.1656889543964 1.69287672983808 FALSE ""
400 30 1.05 200 298 50.1511187144393 1.07822083207533 FALSE ""
600 10 1.05 40 299 15.8196358261346 1.07341731696636 FALSE ""
1000 30 1.7 218 300 30.9980315130543 1.70848737273842 FALSE ""
200 10 1.7 404 301 11.6284565663258 1.80831520448937 FALSE ""
800 30 1.05 6 302 51.0235314095374 1.07972398700244 FALSE ""
400 30 1.7 737 303 29.0928793534312 1.65267922394226 FALSE ""
800 20 1.05 914 304 34.6442029018001 1.07978769376065 FALSE ""
600 30 1.7 246 305 28.7790695281721 1.67575549061973 FALSE ""
600 30 1.05 439 306 49.4130751957658 1.07837766923119 FALSE ""
600 20 1.05 163 307 30.8478194897763 1.07308889956782 FALSE ""
1000 20 1.7 940 308 21.0509330540438 1.71524062155884 FALSE ""
200 10 1.05 920 309 17.9376368315406 1.07959232528123 FALSE ""
200 30 1.7 779 310 31.4000269494286 1.74230312045106 FALSE ""
200 10 1.7 792 311 8.10762698278333 1.62816883947387 FALSE ""
200 10 1.7 527 312 13.1716277483685 1.82520195878471 FALSE ""
400 20 1.7 847 313 18.6260746941898 1.6474336755192 FALSE ""
200 20 1.7 822 314 22.377886240631 1.76458414321743 FALSE ""
800 20 1.05 169 315 34.8737032395673 1.0799452726257 FALSE ""
800 30 1.7 830 316 26.0564533686957 1.6768071765301 FALSE ""
1000 20 1.7 844 317 20.6769871063256 1.72008506428833 FALSE ""
600 10 1.05 163 318 15.3145044157286 1.07322399064561 FALSE ""
1000 30 1.05 566 319 52.878688982585 1.08164477677382 FALSE ""
1000 30 1.7 374 320 35.0606748704692 1.74093473548554 FALSE ""
200 30 1.05 683 321 50.2005025994003 1.07965500988594 FALSE ""
400 10 1.7 639 322 10.8664675893292 1.71386660848091 FALSE ""
800 30 1.7 343 323 36.1804366349413 1.76394332901001 FALSE ""
400 10 1.05 825 324 16.3177432360424 1.07624927240666 FALSE ""
1000 10 1.7 867 325 10.2852952901303 1.6714265613096 FALSE ""
400 30 1.7 697 326 31.147397212217 1.71185808483418 FALSE ""
600 30 1.7 635 327 26.9794897727037 1.64899670006587 FALSE ""
400 20 1.05 853 328 33.3826301549065 1.07640030148004 FALSE ""
800 30 1.05 565 329 54.5481292337149 1.08349395175289 FALSE ""
800 30 1.7 903 330 28.7614440979412 1.64859100080304 FALSE ""
800 10 1.7 371 331 11.1264832221468 1.71029315059714 FALSE ""
800 30 1.7 766 332 31.533107741993 1.668469969821 FALSE ""
600 20 1.7 722 333 20.0741815387511 1.67411687494879 FALSE ""
600 20 1.05 681 334 33.9084497807226 1.08017969270948 FALSE ""
200 30 1.7 650 335 21.9528202082479 1.6460247401266 FALSE ""
800 20 1.7 656 336 21.8915295453077 1.74119190266484 FALSE ""
200 30 1.05 312 337 49.6861034300482 1.07625620485404 FALSE ""
800 10 1.7 870 338 11.2504311824321 1.76041619775276 FALSE ""
1000 30 1.05 577 339 51.6269817163704 1.07958696502784 FALSE ""
800 20 1.05 373 340 34.4726836097499 1.07943224292999 FALSE ""
200 20 1.7 509 341 15.7527136129522 1.63367182854814 FALSE ""
400 10 1.7 365 342 9.34942952863986 1.70560696596905 FALSE ""
600 30 1.7 1000 343 27.6311309668139 1.68885984669361 FALSE ""
800 20 1.7 476 344 16.9321607066597 1.64290136797687 FALSE ""
1000 10 1.05 209 345 16.1691925539576 1.07626532339614 FALSE ""
800 30 1.7 421 346 28.0972730572445 1.68732480461721 FALSE ""
600 30 1.7 538 347 31.9440879129717 1.7045586494934 FALSE ""
1000 20 1.05 973 348 34.1858095425232 1.07962286330784 FALSE ""
800 10 1.05 976 349 17.1612576195528 1.07948992220612 FALSE ""
600 10 1.7 223 350 9.88319507901735 1.69820096180955 FALSE ""
400 30 1.05 836 351 55.6811127521918 1.08433877475019 FALSE ""
400 10 1.05 153 352 17.4297263479698 1.07895371593403 FALSE ""
400 20 1.05 581 353 32.0864127865394 1.07583966904307 FALSE ""
600 20 1.7 768 354 18.2038726439248 1.68419608986813 FALSE ""
400 30 1.7 211 355 32.693495709991 1.77722050959714 FALSE ""
400 10 1.05 345 356 18.3066238423853 1.08317607637889 FALSE ""
800 20 1.05 900 357 38.7906309558664 1.08864837976407 FALSE ""
200 10 1.7 382 358 6.99766322988082 1.56080624552044 FALSE ""
600 10 1.7 426 359 9.83771104429248 1.67799242549578 FALSE ""
800 10 1.05 263 360 16.4581350918764 1.07628750420394 FALSE ""
800 30 1.05 337 361 52.8566464695172 1.08146427222666 FALSE ""
1000 30 1.7 745 362 28.2666027353065 1.68660433952599 FALSE ""
600 20 1.05 883 363 31.6417065261601 1.075212357091 FALSE ""
200 30 1.05 951 364 50.1019205994118 1.07521185846226 FALSE ""
1000 20 1.05 203 365 34.995118104163 1.08242595050152 FALSE ""
1000 20 1.7 567 366 20.1197218910137 1.71948751776803 FALSE ""
200 20 1.7 876 367 21.3809057742656 1.69898428258213 FALSE ""
200 30 1.05 22 368 55.3568971021985 1.08683769195238 FALSE ""
400 30 1.05 469 369 51.1912333490921 1.0807511866846 FALSE ""
800 10 1.7 559 370 10.3127560505625 1.71915878177336 FALSE ""
1000 30 1.05 544 371 51.0035190762114 1.07839204364948 FALSE ""
200 10 1.05 110 372 15.8622910576607 1.07689189025799 FALSE ""
800 20 1.7 998 373 20.4582965060677 1.73280361153012 FALSE ""
400 20 1.05 896 374 33.1081632641544 1.07872464236303 FALSE ""
200 20 1.05 102 375 36.2203835834325 1.08462265974754 FALSE ""
600 20 1.05 467 376 31.9275601642435 1.07511856216923 FALSE ""
600 10 1.05 740 377 17.1724775114445 1.08149420536265 FALSE ""
200 30 1.05 455 378 46.8518535817483 1.07506250771656 FALSE ""
600 20 1.05 98 379 32.4145210483879 1.07634632487049 FALSE ""
400 10 1.7 179 380 9.73673417219121 1.70150809846148 FALSE ""
200 10 1.05 12 381 17.814975791318 1.08394468602653 FALSE ""
1000 10 1.05 115 382 17.2085330247884 1.0790519525915 FALSE ""
1000 10 1.7 796 383 9.36034640970231 1.66616537738188 FALSE ""
800 20 1.05 828 384 29.4562133990568 1.06981957387166 FALSE ""
1000 10 1.05 28 385 16.5952773386897 1.07844460115572 FALSE ""
600 20 1.7 503 386 19.9078995781968 1.68983272547488 FALSE ""
200 10 1.05 535 387 16.9446410897069 1.07823712204178 FALSE ""
600 20 1.7 314 388 18.339295130758 1.6863931413665 FALSE ""
1000 30 1.05 902 389 46.7362019740558 1.07296556181649 FALSE ""
600 20 1.7 803 390 19.4572215627441 1.69525489441313 FALSE ""
800 30 1.7 816 391 29.2445811509174 1.68433570340996 FALSE ""
800 20 1.7 329 392 18.7214981932351 1.65877808374598 FALSE ""
1000 30 1.05 646 393 58.6382126449078 1.09088177996671 FALSE ""
